;"X129.13.214.230";"X213.73.40.105";"X194.167.254.19";"X193.55.112.40";"X157.181.175.249";"X128.114.63.63";"X192.6.26.32";"X198.7.242.42";"X203.30.39.242";"X219.243.208.62";"X151.97.9.224";"X132.227.62.19";"X129.15.78.31";"X134.76.81.91";"X202.244.160.251";"X143.107.111.235";"X122.1.115.91";"X200.159.255.80";"X192.43.193.71";"X147.83.30.164";"X194.29.150.131";"X130.83.244.163";"X199.26.254.68";"X140.114.79.231";"X155.98.35.7";"X157.92.44.102";"X140.192.249.203";"X194.29.150.139";"X131.246.112.69";"X140.112.107.82";"X203.178.133.11";"X155.223.52.3";"X216.165.109.81";"X155.225.2.72";"X133.11.240.56";"X128.208.1.234";"X141.20.103.210";"X129.107.35.131";"X150.140.140.93";"X148.81.140.194";"X128.112.139.27";"X72.36.112.78";"X200.19.159.34";"X195.116.53.12";"X198.248.245.102";"X128.252.19.19";"X157.92.44.101";"X204.123.28.55";"X141.22.213.37";"X131.114.53.187";"X198.248.244.101";"X132.187.230.24";"X129.105.15.38";"X130.237.50.125";"X198.248.246.19";"X128.119.41.211";"X128.227.56.81";"X129.10.120.194";"X129.187.143.130";"X130.104.72.201";"X145.99.179.146";"X133.9.81.165";"X160.78.253.31";"X139.19.142.3";"X156.17.10.52";"X193.174.155.36";"X203.178.133.2";"X134.121.64.7";"X141.24.33.192";"X128.4.36.47";"X129.187.143.80";"X128.151.65.101";"X192.33.90.66";"X158.130.6.254";"X194.29.178.13";"X134.75.238.112";"X206.12.16.154";"X129.22.150.78";"X141.24.249.129";"X131.247.2.245";"X128.220.231.5";"X141.219.252.133";"X144.206.66.58";"X206.117.37.6";"X148.81.140.193";"X152.14.93.140";"X129.21.30.116";"X193.167.187.188";"X169.229.50.12";"X128.42.142.42";"X128.83.122.162";"X198.133.224.149";"X202.249.37.69";"X132.239.17.224";"X128.223.8.111";"X130.83.244.180";"X213.19.160.194";"X75.130.96.13";"X202.112.28.98";"X129.97.74.14";"X155.185.55.185";"X130.216.1.22";"X137.165.1.114"
"X129.13.214.230";NA;0.0540316200256;0.0325198173523;0.0341510391235;0.020773973465;0.18089597702;0.180281038284;0.109053096771;0.307245883942;0.202648820877;0.0481253051758;0.0250281620026;0.137888317108;0.0188308429718;0.296114301682;0.260605735779;NA;0.264609909058;0.0082769203186;0.0507429027557;0.0224550151825;0.00453437805176;0.105255689621;0.321055707932;0.152062702179;0.288820571899;0.397333850861;0.0226219081879;0.00419026374817;0.315283555984;0.292134399414;0;0.101303291321;0.118137979507;0.271486301422;0.170478935242;0.0209167671204;0.133182573318;0.0556162261963;0.0226665592194;0.102472991943;0.119723052979;0.265015897751;0.0323602104187;NA;0.148005647659;0.292508563995;0.176082639694;0.0216634368896;0.0271366977692;0.272478113174;0.00722992897034;0.120844068527;0.0289212703705;NA;NA;0.124938440323;0.104223909378;0.00821535110474;0.0219786548615;0.020465927124;0.269453706741;0.0247120189667;0.00749742507935;0.023400182724;NA;0.283900623322;0.181858215332;0.011215877533;0.101049881715;0.00823456764221;0.119640741348;0.00762970924377;0.101956930161;0.0231531238556;0.287858018875;0.16405049324;0.112676477432;0.0124815559387;0.146103124619;0.106673202515;0.132974319458;0.0581093215942;0.182285108566;0.0226997661591;NA;0.124365844727;0.039302482605;0.182127943039;0.141980091731;0.15377872467;0.121212291718;0.284054059982;0.175162591934;0.193928422928;0.00456765174866;NA;0.227836465836;0.236078996658;0.123407020569;0.0245820236206;0.293529815674;NA
"X213.73.40.105";0.0544009017944;NA;0.0445947128793;0.0694300937653;0.0674007129669;0.227325839996;0.226933164597;0.14792098999;0.343096666336;0.249390735626;0.0794962310791;0.0450809383392;0.178222208023;0.0656056118011;0.331333799362;0.277078409195;NA;0.251457166672;0.0471671962738;0.00769487380981;0.0687124919891;0.0514155769348;0.150945644379;0.345909158389;0.191457672119;0.297258958817;0.495808830261;0.0689454078674;0.0573078918457;0.346649259329;0.335348749161;0;0.147312059402;2.41912977894;0.364669027328;0.214808635712;0.0674210834503;0.173388748169;0.0995435810089;0.0689823532104;0.145319318771;0.159748678207;0.251496601105;0.0859788703918;NA;0.169781093597;0.296928329468;0.221264743805;0.0682524967194;0.0592609786987;0.309195261002;0.0538592529297;0.170644798279;0.0754064818223;NA;NA;NA;0.150671443939;0.0598912620544;0.0686228561401;0.075228376822;0.315352554321;0.0556896626949;0.0593265628815;0.0699259185791;NA;0.315528154373;0.228204994202;0.0577602100372;0.144966859818;0.0598782730103;0.153769016266;0.0484990215302;0.129863519669;0.0698988246918;0.441804628372;0.213058309555;0.141668949127;0.0593359172344;0.179863176346;0.138308324814;0.152237882614;0.104377012253;0.208752727509;0.0692837333679;NA;0.153585958481;0.0860828399658;0.228494243622;0.173156375885;0.192397842407;0.16818602562;0.314797439575;0.221378631592;0.19866071701;0.0508097743988;NA;0.143212766647;0.279368343353;0.157206449509;0.0553571033478;0.340546646118;NA
"X194.167.254.19";0.026329908371;0.0412536716461;NA;0.025576467514;0.0430740070343;0.200415658951;0.206091070175;0.121681108475;0.226286449432;0.219270973206;0.0511179542542;0.01084608078;0.151233921051;0.0375844478607;0.321635866165;0.264090719223;NA;0.261633729935;0.0191375541687;0.04526512146;0.0489441490173;0.0391415786743;0.127161607742;0.336391716003;0.177955617905;0.284616060257;0.585424985886;0.0458520698547;0.0291903781891;0.350379476547;0.311471786499;0;0.115708017349;0.136708097458;0.314837417603;0.203620090485;0.0397355461121;0.156628732681;0.0775588607788;0.0412672901154;0.11815618515;0.139791994095;0.253273286819;0.0440822029114;NA;0.186003818512;0.284027118683;0.161594085693;0.040368719101;0.0326643276215;0.291893949509;0.0257893371582;0.135503921509;0.0480211639404;NA;NA;0.169354686737;0.114442634583;0.0451462936401;0.0328131866455;0.0313955116272;0.288278093338;0.0309460067749;0.0396384048462;0.0418534183502;NA;0.304627542496;0.196163873672;0.0298185634613;0.126444950104;0.0319898319244;0.118293180466;0.0234457492828;0.12594493866;0.0417508029938;0.314884643555;0.188106107712;0.126194868088;0.031050453186;0.175135984421;0.121230611801;0.144097938538;0.0768239498138;0.195012683868;0.0412024784088;NA;0.130602121353;0.0593265342712;0.200467262268;0.158695497513;0.158715419769;0.140662155151;0.304029464722;0.190077314377;0.229114379883;0.0251108646393;NA;0.12443479538;0.252349128723;0.141066122055;0.0277662754059;0.324614849091;NA
"X193.55.112.40";0.0408214664459;0.0524325942993;0.0367379188538;NA;0.0478022098541;NA;0.203833703995;0.134268836975;0.234442005157;0.226500778198;0.0587424087524;0.0178089427948;0.172709589005;0.0580037212372;0.32243932724;0.271599845886;NA;0.260576677322;0.0270120239258;0.0512369060516;0.0526327514648;0.036617898941;0.123518180847;0.343012008667;0.178232278824;0.290967226028;1.00391860962;0.0489004325867;0.0369955062866;0.351177444458;0.318826570511;0;0.119496269226;0.144407611627;0.30075211525;0.194256315231;0.0472144031525;0.164094648361;0.0794264507294;0.0490641403198;0.120769233704;0.146034126282;0.260782461166;0.0571079063416;NA;0.18612197876;0.293826284409;0.171116476059;0.0481000709534;0.0384296607971;0.308329191208;0.0336444187164;0.142154569626;0.0529282188416;NA;NA;0.1855580616;0.122315740585;0.0401207828522;0.0402053546906;0.0444047641754;0.287535600662;0.0354382705688;0.0395459365845;0.0497015571594;NA;0.310988359451;0.203763208389;0.0748393726349;0.122178039551;0.0402369022369;0.125721149445;0.029272851944;0.120042552948;0.0495355510712;0.312690753937;0.185937767029;0.130820245743;0.0401990890503;0.18265542984;0.127575483322;0.142964267731;0.0845740509033;0.194508638382;0.0780327224731;NA;0.125370283127;0.066096546175;0.204913759232;0.166259737015;0.167874355316;0.147334394455;0.310499429703;0.210439662933;0.199786071777;0.0328623199463;NA;0.128868455887;0.249583530426;0.142109222412;0.0376326370239;0.327003860474;NA
"X157.181.175.249";0.0209002017975;0.0671841526031;0.0464263153076;0.0474734115601;NA;0.193872861862;0.193294286728;0.122960681915;0.321320390701;0.215473918915;0.0475676250458;0.0380565834045;0.150913238525;0.0320044708252;0.308709926605;0.273603801727;NA;0.277582759857;0.0293528747559;0.0640248680115;0.0322716140747;0.0255846977234;0.118297080994;0.320370616913;0.165035896301;0.308141489029;0.35336520195;0.032232093811;0.0233788108826;0.340320043564;0.305259065628;0;0.113793897629;0.131219148636;0.299129095078;0.181316375732;0.0338314723969;0.150552968979;0.0315221977234;0.0323799514771;0.11570224762;0.132759361267;0.278382892609;0.0466936779022;NA;0.165710496902;0.308692522049;0.180492804601;0.0346897888184;0.0263737010956;0.285499067307;0.0203034973145;0.136960334778;0.0418384075165;NA;NA;0.137898368835;0.117115974426;0.0263257312775;0.0349342441559;0.0334083271027;0.282421302795;0.0239385032654;0.0269900798798;0.033024597168;NA;0.297577552795;0.194924726486;0.0243614768982;0.115282831192;0.0263236027498;0.120442686081;0.0304158973694;0.124514198303;0.0327509403229;0.300858955383;0.183455953598;0.125686378479;0.0257194328308;0.159140930176;0.119750061035;0.156974352323;0.0709244251251;0.185441064835;0.0324365615845;NA;0.120214548111;0.0525672626495;0.195202846527;0.154001512527;0.165573005676;0.134828386307;0.296987018585;0.187978782654;0.206724596024;0.0255254840851;NA;0.123043546677;0.24900604248;0.136363639832;0.0238250923157;0.317836837769;NA
"X128.114.63.63";0.180864063176;0.227356853485;0.195714275042;0.203105192184;0.193827161789;NA;0.00358563423157;0.0961570930481;0.197036161423;0.221233911514;0.221095933914;0.194515829086;0.0554815196991;0.192115077972;0.138234186172;0.255093708038;NA;0.259671926498;0.189428272247;0.223769741058;0.195509414673;0.176150178909;0.0822723770142;0.160892457962;0.0353428649902;0.273391994563;0.0756564998627;0.19567193985;0.183502616882;0.251274671555;0.137637500763;0;0.0886339378357;0.0887867069244;0.127091159821;0.0220365905762;0.193946638107;0.0488823318481;0.228577604294;0.195637683868;0.0891018486023;0.0711348148493;0.260006418228;0.184299192429;NA;0.0959700489044;0.269979476929;0.0157371711731;0.194895048141;0.201799926758;0.202802886963;0.180306339264;0.0680350589752;0.189901199341;NA;NA;0.0726026725769;0.0903853607178;0.186375265121;0.188148412704;0.194251485493;0.125137557983;0.197716531754;0.186563854218;0.196724348068;NA;0.126747541428;0.0315217685699;0.184458904266;0.0887589073181;0.186364850998;0.0837762546539;0.190703058243;0.0899291133881;0.196182374954;0.140233287811;0.0540553188324;0.0747049617767;0.185703325272;0.0626697444916;0.0855880641937;0.070965385437;NA;0.0116368675232;0.19576002121;NA;0.0833780097961;0.25240981102;0.00561016082764;0.0443097305298;0.0454218006134;0.0733811664581;0.126521129608;0.0146307468414;0.036628370285;0.176173200607;NA;0.184617233276;0.249539995193;0.0829714202881;0.197590589523;0.13632144928;NA
"X192.6.26.32";0.180293064117;0.226712112427;0.200120220582;0.20243683815;0.193283786774;0.00350399017334;NA;0.0946504497528;0.196107797623;0.220507488251;0.220548324585;0.193507022858;0.0548150920868;0.191426029205;0.137685937881;0.254499073029;NA;0.243944263458;0.188804426193;0.223086137772;0.19491481781;0;0.0816671562195;0.156579666138;0.0345724201202;0.251631135941;0.0819002819061;0.195085124969;0.182945299149;0.157528419495;0.1339656353;0;0.0877055931091;0.0881302165985;0.12648314476;0.0213997840881;0.193508968353;0.0482842350006;0.228127975464;0.195194911957;0.0885250282288;0.0706310558319;0.24438076973;0;NA;0.105180196762;0.252344760895;0.0198058509827;0.194366168976;0.201140518188;0.202305965424;0.179774971008;0.0672451496124;0.189184703827;NA;NA;0.0721025466919;0.0897458076477;0.1857371521;0.187574281693;0.17930896759;0.124483699799;0.197174158096;0.186961307526;0.195874481201;NA;0.125964899063;0.0309234428406;0.183823423386;0.0882039356232;0.185745363235;0.0829546737671;0.189644155502;0.0946701049805;0.195771045685;0.139755544662;0.0503822040558;0.0742322254181;0.185225057602;0.0620855140686;0.0845384120941;0;0.239283485413;0.0205429840088;0.195176820755;NA;0.0827829265594;0.200056715012;0.00490007400513;0.0437687206268;0.0447723960876;0.072689743042;0.125877733231;0.0138851356506;0.0356910800934;0;NA;0.0947012996674;0.249015359879;0.0823637676239;0.196885633469;0.135595254898;NA
"X198.7.242.42";0.109110269547;0.146646847328;0.123019326817;0.127241258621;0.121775015541;0.0948571968079;0.0965311813354;NA;0.258507871628;0.304109554291;0.147852258682;0.114959182739;0.0483156681061;0.121068553925;0.211292492019;0.183365345001;NA;0.165643444061;0.117953271866;0.151591132085;0.122777602252;0.103179874874;0.021173582077;0.237010803223;0.0654882526398;0.217882680893;0.0398350854715;0.124477853775;0.111148834229;0.230789861679;0.214502801895;0;0.0182127952576;0.0378956604004;0.205506477356;0.0819511318207;0.123110437393;0.0513642215729;0.159163331985;0.120483560562;0.0151478290558;0.0344475841522;0.164877206087;0.120591974258;NA;0.0682633590698;0.209149857362;0.0855252933502;0.122797708511;0.130178413391;0.187075309753;0.107724971771;0.0333266544342;0.115006666183;NA;NA;0.0439825248718;0.00749588012695;0.115338134766;0.109145517349;0.108788112799;0.189192678617;0.122714204788;0.116004824638;0.124420967102;NA;0.204532060623;0.0923561286926;0.111748218536;0.0152645905813;0.115547736486;0.0340751906236;0.120941648483;0.0147067260742;0.124316501617;0.200059833527;0.109124526978;0.0291938686371;0.114065065384;0.0454462718964;0.0227473545074;0.0453108449777;0.15717546463;0.0884613227844;0.12374455452;NA;0.032268705368;0.12885764122;0.098003466924;0.0572575473785;0.0619280139605;0.0350346088409;0.201563930511;0.0909023857117;0.0889118766785;0.102565374374;NA;0.0159021854401;0.3312774086;0.0398440162341;0.125916757584;0.213267345428;NA
"X203.30.39.242";0.306460371017;0.324496946335;0.226370744705;0.234049301147;0.32079668045;0.197017993927;0.196228179932;0.257358026505;NA;0.138862257004;0.340591630936;NA;0.238119831085;0.319158649445;0.114426651001;0.413353013992;NA;0.399886465073;0.231031522751;0.319358568192;0.322467041016;0.344723510742;0.250433263779;0.135453681946;0.264021730423;0.43320520401;0.37510433197;0.321195993423;0.310639610291;0.133831033707;0.110471696854;0;0.255729885101;0.262623062134;0.104754896164;0.177597522736;0.320116224289;0.252568130493;0.353155784607;0.321542606354;0.260547122955;0.23193447113;0.401644124985;0.407116012573;NA;0.305349521637;0.430842475891;0.194630670547;0.322011480331;0.33575925827;0.385951681137;0.307624254227;0.232888202667;0.325720148087;NA;NA;0.26255853653;0.252805118561;0.313406925201;0.323268947601;0.335617952347;0.101031656265;0.316839447021;0.337797384262;0.324805164337;NA;0.102486124039;0.187175683975;0.311335515976;0.261737709045;0.313407554626;0.244503192902;0.232102880478;0.286875886917;0.321859769821;0.366458692551;0.211363887787;0.239690990448;0.348287191391;0.258326053619;0.250253572464;0.268627252579;0.406272640228;0.204232807159;NA;NA;0.245320920944;0.378254003525;0.198655328751;0.258759040833;0.261302032471;0.235026874542;0.102365407944;0.207262153625;0.253071451187;0.34806219101;NA;0.257513637543;0.172081432343;0.247593307495;0.315489406586;0.334997444153;NA
"X219.243.208.62";0.20251748085;0.249330816269;0.218936300278;0.227234373093;0.215545330048;0.22124168396;0.220724306107;0.304968481064;0.138946857452;NA;0.243321027756;0.217657108307;0.268203783035;0.213940057755;0.119165639877;0.433915462494;NA;0.447061309814;0.211140918732;0.245429458618;0.217351665497;0.394388999939;0.269709482193;0.139704961777;0.243466720581;0.455431919098;0.379126396179;0.217303657532;NA;0.138865041733;0.115127124786;0;0.28582690239;0.307205295563;0.107626075745;0.220646362305;0.215803375244;0.266947231293;0.250372505188;0.217457056046;0.297296466827;0.2792827034;0.444785480499;0.656315912803;NA;0.310791625977;0.450891075134;0.216917448044;0.216552724838;0.22325302124;0.410917778015;0.202077598572;0.276262493134;0.195541191101;NA;NA;0.281454620361;0.298424711227;0.208049297333;0.209024200439;0.208489704132;0.105638256073;0.219315576553;0.223926115036;0.218564939499;NA;0.106641654968;0.230101728439;0.206078224182;0.296877365112;0.208079586029;0.292749567032;0.212146787643;0.296104316711;0.218080844879;0.312577266693;0.261458768845;0.270561246872;0.207609996796;0.270845136642;0.29273771286;0.284717378616;0.253165082932;0.341312484741;0.217453393936;NA;0.291365919113;0.270172986984;0.222739334106;0.253542232513;0.254598817825;0.267695760727;0.106485643387;0.22256067276;0.244508047104;0.370289230347;NA;0.315524587631;0.0266949748993;0.277102203369;0.219621906281;0.344230318069;NA
