;"X194.29.178.13";"X130.104.72.201";"X130.83.244.175";"X213.19.160.194";"X170.140.119.69";"X141.219.252.133";"X137.165.1.114";"X131.246.112.36";"X195.116.53.12";"X194.167.254.18";"X198.248.245.102";"X147.83.30.167";"X194.29.150.131";"X141.20.103.210";"X129.13.214.100";"X128.208.1.161";"X193.196.39.10";"X132.227.62.20";"X132.187.230.24";"X133.11.240.56";"X193.55.112.40";"X128.223.8.113";"X169.226.40.2";"X141.22.213.37";"X198.248.246.146";"X192.43.193.71";"X155.223.52.1";"X129.93.229.139";"X206.117.37.6";"X134.76.81.91";"X202.249.37.67";"X198.248.244.101";"X128.112.139.18";"X157.181.175.249";"X131.114.53.187";"X200.19.159.34";"X130.149.49.136";"X128.220.231.5";"X149.169.227.131";"X193.167.187.186";"X129.15.78.31";"X198.133.224.149";"X149.43.80.20";"X138.238.250.155";"X128.83.122.162";"X165.230.49.115";"X203.30.39.242";"X132.239.17.225";"X141.20.103.211";"X129.242.19.196";"X193.167.187.187";"X204.123.28.55";"X202.112.28.100";"X143.225.229.238";"X132.227.62.19";"X128.208.4.198";"X129.10.120.193";"X192.33.90.66";"X133.9.81.165";"X147.83.30.164";"X155.98.35.8";"X193.206.22.134";"X140.192.249.203";"X129.22.150.78";"X202.244.160.251";"X134.121.64.7";"X206.12.16.155";"X203.159.255.1";"X142.104.21.241";"X143.107.111.234";"X193.174.155.36";"X148.81.140.193";"X192.138.213.236";"X203.178.133.2";"X169.229.50.3";"X140.112.107.82";"X130.83.244.179";"X128.208.1.221";"X128.151.65.101";"X129.97.74.14";"X129.187.143.40";"X129.82.12.187";"X129.13.214.230";"X160.78.253.32";"X157.92.44.101";"X145.99.179.147";"X192.42.83.250";"X143.215.131.198";"X192.26.179.69";"X88.255.65.220";"X140.114.79.231";"X194.29.150.139";"X129.107.35.131";"X155.225.2.72";"X200.159.255.80";"X129.187.143.140";"X72.36.112.78";"X122.1.115.91";"X143.89.49.74";"X132.187.230.26";"X155.223.52.3";"X130.83.244.176";"X128.114.63.63";"X134.121.64.4";"X128.42.142.42";"X169.235.24.133";"X198.248.241.102";"X210.123.39.102";"X164.73.47.244"
"X194.29.178.13";NA;0.0371854686737;0.020417137146;0.028359969457;0.143289613724;0.153003358841;0.534549008245;0.0254071331024;0.00410558700562;0.0416289043427;NA;0.0663446617126;0.00224975585937;0.0358813858032;0.0230944919586;0.183769330978;0.024288110733;0.0392324542999;0.0226037693024;0.338185272217;0.0493815994263;0.208926105499;0.111215219498;0.0367360115051;0.300431632996;0.0317159175873;0;0.147055845261;0.208347940445;0.0341400337219;0.299189767838;0.287779664993;0.11797334671;0.0327702903748;0.0427553939819;0.280172128677;0.0360218048096;0.122082977295;0.199616422653;0.0405214214325;0.15270699501;0.137462463379;0.120778541565;0.121454916;0.160162725449;NA;0.320762786865;0.190105323792;0.0360494613647;0.0557274176524;0.0447285270691;0.185242090225;0.238930044174;NA;0.0406430530548;0.184515638351;0.119368829727;0.0327869129181;0.284724874496;0.0662874794006;0.167518262863;0.0595653057098;NA;0.127873325348;0.311039648056;0.197194156647;0.179209518433;0.343293390274;0.180921669006;0.276198997498;NA;0.00247367858887;0.112023496628;0.303186416626;NA;0.3311353302;0.0205451583862;0.183674135208;0.122420072556;0.138733873367;0.0286129188538;0.161897001266;0.0232227420807;0.0398257637024;0.308186922073;0.0373530864716;NA;0.14364865303;0.0284643650055;0.0668079185486;0.332247066498;0.00232172966003;0.152965841293;0.1338758564;0.279947061539;0.0285968780518;0.135115385056;NA;0.347526464462;0.0225700378418;0;0.0204934597015;0.196242303848;0.19697678566;0.156483783722;0.192550230026;0.146661539078;0.394433851242;0
"X130.104.72.201";0.037372674942;NA;0.0189137744904;0.0133309173584;0.120153408051;0.125565834045;0.521393972894;0.024183549881;0.0437658977509;0.0325810909271;NA;0.0665713024139;0.0365226459503;0.0352694702148;0.021968969932;0.180020704269;0.0227668190002;0.029873714447;0.0212724208832;0.334098358154;0.053333978653;0;0.102358283997;0.0484957504272;0.299257555008;0.0307000350952;0;0.145626277924;0.181519632339;0.0331084442139;0.298393316269;0.286448125839;0.102648801804;0.0347499084473;0.0424817371368;0.259130439758;0.0355928134918;0.109285354614;0.191879177094;0.0422335720062;0.141299724579;0.131868476868;0.121540966034;0.091868686676;0.151798372269;NA;0.322188520432;0.182063274384;0.0347876548767;0.0574385261536;0.0465839004517;0.154185571671;0.239750480652;NA;0.0313278388977;0.187762145996;0.104366912842;0.0315762424469;0.269353752136;0.0653964424133;0.166466283798;0.0439771513144;NA;0.112685718536;0.309948558807;0.185727968216;0.164158248901;0.339312839508;0.165808420181;0.276764354706;NA;0.0368939876556;0.0939700889587;0.299808931351;NA;0.389639720917;0.0185591888428;0.187601222992;0.107915382385;0.123421068192;0.0275197601318;0.150834102631;0.0219864749908;0.0386536979675;0.313920478821;0.0298898792267;NA;0.12092420578;0.0274459552765;0.161415565582;0.331225776672;0.0366359233856;0.151758346558;0.132594747543;0.258452129364;0.0274516487122;0.129722633362;NA;NA;0.0212893772125;0;0.0186761188507;0.188057794571;0.186971788406;0.151692476273;0.184104852676;0.150954761505;0.338148623705;0
"X130.83.244.175";0.0204305934906;0.0185880851746;NA;0.0115447839101;0.111466827393;0.12957780838;0.165722059167;0.0348261260986;0.0302786445618;0.025264377594;NA;0.0459089279175;0.0198864459991;0.0185333061218;0.00453957557678;NA;0.00536231040955;0.022082490921;0.0279442310333;0.276007328033;0.0433113098145;0.18388565687;0.0967660713196;NA;0.274787334295;0.0206742378382;0.0714380073547;0.136334590912;0.183792409897;0.0224026584625;0.274926214218;0.262363843918;0.0995967769623;0.0287447547913;0.0214629364014;0.236261940002;0.0180759620667;0.102814311981;0.157500104904;0.0455986881256;0.131839208603;0.122511940002;0.11011259079;0.0949126434326;0.137326231003;NA;0.350835675779;0.183325529099;0.018375043869;0.0605017662048;0.0487651062012;0.161699619293;0.392081365585;NA;0.0231565189362;0.173068876266;0.119028311509;0.0125267410278;0.267848873138;0.0460184383392;0.176348524094;0.0228046989441;NA;0.101335535049;0.27728520269;0.182117729187;0.15748884201;0.295254640579;0.15999797821;0.229812545776;NA;0.0198738861084;0.0938687896729;0.296155691147;NA;0.385244655609;0.00106496810913;0.172870388031;0.113849945068;0.237825021744;0.0378167152405;0.165454273224;0.00454835891724;0.0176187705994;0.251646156311;0.0160789966583;NA;0.108160934448;0.0275846004486;0.0434216403961;0.302511701584;0.0198861543949;0.126938686371;0.923509397507;0.235973749161;0.0377964305878;0.120705251694;NA;NA;0.0280196285248;0;0.00111983299255;0.176072149277;0.182245864868;0.130057544708;0.180447025299;0.123675689697;0.334696426392;0
"X213.19.160.194";0.0281414318085;0.0134710788727;0.0114769744873;NA;0.107881631851;0.133378471647;0.17261367374;0.0252663135529;0.0329705524445;0.0366403063138;NA;0.0646571540833;0.0274921547283;0.0235829552015;0.0173544287682;0.168181786935;0.0182044696808;0.0268662643433;0.0207356214523;0.334469785293;0.031865978241;0.186460802952;0.0962118208408;0.0274641990662;0.304088493188;0.0207623295162;0;0.147746135791;0.164104104042;0.027558585008;0.314432134628;0.290346066157;0.104002170563;0.0313546359539;0.0332920650641;0.240585724513;0.0232744942541;0.118238121271;0.158913450241;0.0388036346436;0.142454266548;0.154555973799;0.123667240143;0.096671407873;0.148662862778;NA;0.356124235236;0.169013847004;0.0236617689547;0.0904228305817;0.0428787271182;0.172640860081;0.406420717637;NA;0.0279874386995;0.166241075682;0.1093285734;0.0198937606812;0.28260684967;0.0936038780212;0.151554226875;0.0458729171753;NA;0.109591960907;0.305344895883;0.174031667709;0.164599584497;0.379516458511;0.168626576662;0.27131738446;NA;0.0275153030049;0.0963327055392;0.287837636471;NA;0.38389503479;0.0116101404031;0.175850560268;0.113912542661;0.112862179677;0.0284849739075;0.138972997665;0.0176399065101;0.0297147750854;0.267590413491;0.0136109888554;NA;0.124016382478;0.0566590023041;0.15942782402;0.325257956982;0.027427854538;0.133964870287;NA;0.240746393204;0.0284573513529;0.122922160409;NA;0;0.0204701206901;0;0.0116051901942;0.17675567757;0.175945172707;0.124813815822;0.167961766322;0.149706811905;0.340618401766;0
"X170.140.119.69";0.143009405136;0.120234184265;0.111530637741;0.108624796073;NA;0.0490259456635;0.0688790624792;0.130136566162;0.127042705362;0.130395965576;NA;0.170728435516;0.142567834854;0.140713272095;0.114305200577;0.0790032863617;0.115789957047;0.12810968399;0.127294445038;0.184494218826;0.138268795013;0.0855640888214;0.0263924884796;0.14147769928;0.198317518234;0.136421823502;0;0.0368210983276;0.0594229412079;0.138851985931;0.183500442505;0.185562877655;0.0515918254852;0.140817832947;0.1474310112;0.160671386719;0.140576963425;0.0322952747345;0.0712166786194;0.147280769348;0.0411431598663;0.0492357063293;0.0433888626099;0.0181822395325;0.031189994812;NA;0.251987705231;0.0618336486816;0.140672550201;0.162406482697;0.207473845296;0.0582573032379;0.318382911682;NA;0.129414424896;0.0793215494889;0.0439517116547;0.137541818619;0.195631246567;0.19620136261;0.0571947574615;0.152176074982;NA;0.02659532547;0.195002527237;0.0944223022461;0.110430316925;0.311349983215;0.112008666992;0.160888814926;NA;0.142595071793;0.0283545207977;0.183540410995;NA;0.214866809845;0.109594163895;0.0789771630214;0.0339715766907;0.0527833557129;0.133225574493;0.059128074646;0.116616287231;0.144609772242;0.217050256729;0.149483862377;NA;0.00408198356628;0.132858562469;0.149692436059;0.216123544253;0.142530870438;0.032860918045;3.20954439857;0.160097970963;0.133284511566;0.0319384886668;NA;0.225116147995;0.127341918945;0;0.111899633408;0.0676250839233;0.0944211387634;0.0384622383118;0.0639473724365;0.0448889255524;0.242525491714;0
"X141.219.252.133";0.152981672287;0.125374412537;0.129730806351;0.132789669037;0.0490762519836;NA;0.156650712093;0.12770019878;0.14527466774;0.151852273941;NA;0.172585258484;0.147583837509;0.136130142212;0.133008899689;0.0638387203217;0.129844226837;0.135740242004;0.183621339798;0.180856695175;0.155069475174;0.0809677314758;0.0396930599213;0.139002332687;0.186121349335;0.132625665665;0;0.0535795021057;0.0823206233978;0.137826528549;0.188227272034;0.173075475693;0.06020860672;0.157123508453;0.163534498215;0.177770938873;0.136239833832;0.0370847797394;0.0756845474243;0.153051252365;0.0396897506714;0.0223758602142;0.0561999607086;0.043242559433;0.0515391540527;NA;0.270470714569;0.07298163414;0.140363960266;0.169615945816;0.209293909073;0.0823702907562;0.296989879608;NA;0.135296163559;0.0670965194702;0.0408612346649;0.13119477272;0.185001010895;0.178888368607;0.0698508930206;0.166323843002;NA;0.0383629894257;0.186101942062;0.0764042472839;0.0810158443451;0.305977106094;0.0830234718323;0.176371593475;NA;0.151033058167;0.0421767044067;0.197316389084;NA;0.221824934085;0.129989414215;0.0667681789398;0.0327825641632;0.0260813808441;0.130950889587;0.0504513931274;0.133295001984;0.155420122147;0.200477848053;0.142692901871;NA;0.0456505012512;0.130736907323;0.176296621561;0.221089963913;0.151422014236;0.0393174934387;0.0636380386353;0.177004852295;0.193106784821;0.0213476753235;NA;0;0.123926681021;0;0.129912033081;0.0712057590485;0.0763439178467;0.052089805603;0.0728503322601;0.0319176006317;0.393469219208;0
"X137.165.1.114";0.172381763873;0.269407186508;0.148245596886;0.425519082857;0.131458251373;0.0761847595374;NA;0.200893710057;0.218311859214;0.257605830828;NA;0.443258326987;0.406989889145;0.13792173429;0.177486717701;0.240661881187;0.17216990305;0.18234232339;0.386567771435;0.549156139294;0.221789697806;0.166144089265;0.116810943769;0.149984359741;0.5924723049;0.239439537651;0;0.367323732376;0.1482847929;0.135009965897;NA;0.39560368928;0.37076341629;0.524933244871;0.227554657243;0.260982592901;0.208638802819;0.0944112864408;0.214184542497;0.35535767804;0.118890892376;0.401902188425;0.346753730774;0.129011750221;0.185455371936;NA;0.323206240481;0.167979067022;0.507095317046;0.382723721591;0.426736883495;0.258399486542;0.458024919033;NA;0.241992318112;0.136937788555;0.0911791649732;0.219537486633;0.346761848616;0.262330512206;0.122133592765;0.40049085021;NA;0.0681419268898;0.434115739096;0.250868164975;0.243663499753;0.735119871471;0.126649300257;0.489096452792;NA;0.142949332362;0.452359004454;0.295922610495;NA;0.542029961296;0.332580295476;0.123467254639;0.230249591496;0.46846991;0.151390175025;0.12709777832;0.417521357536;0.44847914447;0.222095058078;0.436760448274;NA;0.232095642523;0.15900405248;0.374698682265;0.291880119931;0.208861330281;0.257546196381;1.92894223603;0.20378147472;0.413997974396;0.436539898316;NA;NA;0.259599151611;0;0.184243378432;0.214024098023;0.330250439437;0.105587710505;0.231326401234;0.105282840275;0.337032214455;0
"X131.246.112.36";0.0254411315918;0.024194393158;0.0347623348236;0.0253246923288;0.130157337189;0.127445430756;0.305937031905;NA;0.0451092720032;0.0288379764557;NA;0.0532938098907;0.0249764823914;0.0229084205627;0.00387496948242;0.170678777695;0.00492839813232;0.0261825942993;0.00953036308289;0.277390775681;0.0446719932556;0.205019140244;0.10005027771;0.0237566947937;0.287641305923;0.0187082290649;0;0.134075117111;0.17463145256;0.0210596179962;0.286576328278;0.274870510101;0.104655256271;0.0232436847687;0.0303635120392;0.267331590652;0.0228291130066;0.108913183212;0.186795015335;0.0386898326874;0.140299825668;0.124088573456;0.110381584167;0.124111099243;0.146715669632;NA;0.30881403923;0.177585172653;0.0229569911957;0.0539840316772;0.0427140426636;0.166724672318;0.230911979675;NA;0.0275021076202;0.171018018723;0.106538085937;0.0198056697845;0.271705713272;0.0537972736359;0.154454145432;0.03768450737;NA;0.115013561249;0.319801712036;0.184282369614;0.166403770447;0.327162656784;0.168078260422;0.263495340347;NA;0.0249946403503;0.0923866176605;0.286936597824;NA;0.365554008484;0.0348211765289;0.17074005127;0.109739236832;0.125641794205;0.00997330665588;0.148928642273;0.00386143684387;0.026979598999;0.297197303772;0.0350325314895;NA;0.130752305984;0.0150724220276;0.0751205032522;0.32281252861;0.0248653888702;0.139831643838;0.120716934204;0.266943817139;0.0100179481506;0.122052640915;NA;NA;0.00961001396179;0;0.034859593098;0.183216667175;0.184173164368;0.143607559204;0.179428071976;0.133728818893;0.399836454391;0
"X195.116.53.12";0.00422429084778;0.0436545944214;0.0304231357574;NA;0.129391679764;0.145780162811;0.571415252686;0.0452135848999;NA;0.0437797927856;NA;0.0787510204315;0.00367802619934;0.0291080665588;0.0323977279663;0.197912282944;0.0336053276062;0.0352216243744;0.0385857009888;0.339001951218;0.0619651794434;0.205747795105;0.164397039413;0.0334336853027;0.36712179184;0.0433013153076;0;0.161062746048;0.196897497177;0.0330483627319;0.307196655273;0.345057449341;0.123096609116;0.0467950248718;0.0471975421906;0.25744717598;0.0288385009766;0.171019554138;0.176345157623;0.0441961669922;0.155005950928;0.169018173218;NA;0.177223100662;0.159586210251;NA;0.406995725632;0.193592777252;0.029061870575;0.0590381336212;0.0474733448029;0.180156068802;0.628255571638;NA;0.0364791488647;0.194882736206;0.119723777771;0.0422388744354;0.298595380783;0.105431404114;0.168155469894;0.0568771076202;NA;0.128732767105;0.352236100606;0.207401657104;0.192522802353;0.423255243301;0.184096879959;0.248951196671;NA;0.0248739528656;0.19973323822;0.362215581148;NA;0.398946323395;0.03067902565;0.226772909164;0.123767356873;0.21151594162;0.0485502910614;0.160757007599;0.0324042320251;0.0434681797028;0.299797706604;0.0593971212705;NA;0.130408525467;0.038678483963;0.171547224647;0.33443069458;0.003514585495;0.233722572327;2.36906503956;0.257342824936;0.0497195720673;0.177024097443;NA;0;0.0384356689453;0;0.0305380630493;0.184722833633;0.199125576019;0.152734880447;0.190806627274;0.213366317749;0.320288677216;0
"X194.167.254.18";0.0420244121552;0.0327303028107;0.0252010822296;0.0348261853923;0.130392885208;0.151387624741;0.486453067689;0.0286775493622;0.0434830188751;NA;NA;0.0392932891846;0.0411284637451;0.0393722724915;0.0262671852112;0.187038269043;0.0274314403534;0.00915925979614;0.0258460617065;0.282643079758;0.0191093349457;0.212313346863;0.119869632721;0.0403182220459;0.303906030655;0.019085931778;0;0.150288648605;0.1866771698;0.0376125144958;0.304142990112;0.291045007706;0.112913427353;0.0394115829468;0.0311122322083;0.253274898529;0.0391007614136;0.119888381958;0.198737392426;0.0525315570831;0.151321849823;NA;0.125946369171;0.0979622077942;0.158799972534;NA;0.226138687134;0.189618082047;0.0394523906708;0.0677610492706;0.0562819099426;0.175519752502;0.250333986282;NA;0.0102318763733;0.187476758957;0.114444952011;0.0206721019745;0.279835601648;0.039154958725;0.170635662079;0.0366218852997;NA;0.122900829315;0.314595537186;0.196109285355;0.174330778122;0.328143463135;0.176227407455;0.264212026596;NA;0.0413249111176;0.110452775955;0.35161863327;NA;0.335969600677;0.024844493866;0.197441177368;0.117961626053;0.133536424637;0.0318304157257;0.160762166977;0.0268161992232;0.02727643013;0.284825716019;0.0309121513367;NA;0.130912656784;0.0316073417664;0.164486348629;0.3370748806;0.0411737060547;0.156086492538;0.137563056946;0.252785234451;0.0317082977295;0.136849250793;NA;0.32519115448;0.0258180046082;0;0.0253007507324;0.19523557663;0.196047935486;0.160324487686;0.191486129761;0.150271997452;0.401963233948;0
