;"FromIP";"ToIP";"RTT";"Distance";"CountryFrom";"CountryFromNo";"CountryTo";"CountryToNo";"ConnectionNo"
"52";"155.223.52.3";"198.248.245.102";0.31195831298828;10413.003;"Turkey";12;"UnitedStates";13;1213
"53";"155.223.52.3";"194.29.150.131";0.065538778305056;2270.982;"Turkey";12;"Poland";10;1210
"54";"155.223.52.3";"198.248.246.19";0.30579335212716;10413.003;"Turkey";12;"UnitedStates";13;1213
"55";"155.223.52.3";"198.248.244.101";0.31886260032652;10413.003;"Turkey";12;"UnitedStates";13;1213
"56";"155.223.52.3";"131.246.112.38";0.056521415710448;2991.0229;"Turkey";12;"Germany";6;1206
"57";"155.223.52.3";"192.138.213.238";0.150664726893056;8816.1885;"Turkey";12;"UnitedStates";13;1213
"58";"155.223.52.3";"129.107.35.131";0.21781930923464;11103.3042;"Turkey";12;"UnitedStates";13;1213
"59";"155.223.52.3";"141.24.33.162";0.060690984725952;2811.4704;"Turkey";12;"Germany";6;1206
"60";"155.223.52.3";"128.112.139.18";0.14904787063596;9185.9653;"Turkey";12;"UnitedStates";13;1213
"61";"155.223.52.3";"203.178.133.10";0.37345629692068;8143.7083;"Turkey";12;"Japan";7;1207
"62";"155.223.52.3";"143.107.111.235";0.33944839477536;11453.2343;"Turkey";12;"Brazil";2;1202
"63";"155.223.52.3";"200.0.206.202";0.3889378929138;12915.5779;"Turkey";12;"Uruguay";14;1214
"64";"155.223.52.3";"198.133.224.149";0.16798553466796;9766.8876;"Turkey";12;"UnitedStates";13;1213
"65";"155.223.52.3";"145.99.179.146";0.069096365234372;3278.0888;"Turkey";12;"Netherlands";9;1209
"66";"155.223.52.3";"192.43.193.71";0.063603076934816;2962.4716;"Turkey";12;"Switzerland";11;1211
"67";"155.223.52.3";"202.249.37.67";0.330697163291652;8143.7083;"Turkey";12;"Japan";7;1207
"68";"155.223.52.3";"206.117.37.6";0.26133107185372;11775.1032;"Turkey";12;"UnitedStates";13;1213
"69";"155.223.52.3";"202.244.160.251";0.34619256973268;7913.8117;"Turkey";12;"Japan";7;1207
"70";"155.223.52.3";"130.49.221.41";0.17606630325312;9497.2062;"Turkey";12;"UnitedStates";13;1213
"71";"155.223.52.3";"132.239.17.224";0.22137308120728;11870.2783;"Turkey";12;"UnitedStates";13;1213
"72";"155.223.52.3";"206.12.16.155";0.21017873764028;10231.1692;"Turkey";12;"Canada";3;1203
"73";"155.223.52.3";"128.8.126.78";0.16530633926388;9428.4949;"Turkey";12;"UnitedStates";13;1213
"74";"155.223.52.3";"148.81.140.194";0.071716928482052;2270.982;"Turkey";12;"Poland";10;1210
"75";"155.223.52.3";"132.227.62.20";0.079903059005728;3368.9649;"Turkey";12;"France";5;1205
"76";"155.223.52.3";"122.1.115.91";0.34548654556272;8143.7083;"Turkey";12;"Japan";7;1207
"77";"155.223.52.3";"129.187.143.120";0.059608993530272;2681.9372;"Turkey";12;"Germany";6;1206
"78";"155.223.52.3";"128.4.36.46";0.1485454082488;9306.3159;"Turkey";12;"UnitedStates";13;1213
"79";"155.223.52.3";"130.104.72.201";0.076853322982792;3237.8871;"Turkey";12;"Belgium";1;1201
"80";"155.223.52.3";"72.36.112.79";0.1971996212006;9970.8181;"Turkey";12;"UnitedStates";13;1213
"81";"155.223.52.3";"129.105.15.38";0.16957206726072;9771.7359;"Turkey";12;"UnitedStates";13;1213
"82";"155.223.52.3";"128.208.1.234";0.21482078552244;10391.3596;"Turkey";12;"UnitedStates";13;1213
"83";"155.223.52.3";"208.117.131.116";0.23863092422492;11284.073;"Turkey";12;"UnitedStates";13;1213
"84";"155.223.52.3";"129.187.143.60";0.059524822235104;2681.9372;"Turkey";12;"Germany";6;1206
"85";"155.223.52.3";"134.76.81.91";0.065721473693844;2906.12;"Turkey";12;"Germany";6;1206
"86";"155.223.52.3";"129.97.74.14";0.16956699371344;9276.1409;"Turkey";12;"Canada";3;1203
"87";"129.10.120.194";"195.116.60.98";0.1210608673096;6560.0104;"UnitedStates";13;"Poland";10;1310
"88";"129.10.120.194";"155.223.52.3";NA;8818.6469;"UnitedStates";13;"Turkey";12;1312
"89";"129.10.120.194";"202.112.28.100";0.3315929698944;10848.1062;"UnitedStates";13;"China";4;1304
"90";"129.10.120.194";"139.19.142.3";0.109791914621917;5886.2672;"UnitedStates";13;"Germany";6;1306
