;"X194.29.150.131";"X148.81.140.194";"X130.83.244.179";"X134.76.81.91";"X141.24.33.162";"X132.227.62.20";"X192.43.193.71";"X131.246.112.38";"X129.187.143.120";"X129.187.143.60";"X145.99.179.146";"X130.104.72.201";"X193.55.112.41";"X139.19.142.3";"X155.223.52.3";"X192.138.213.238";"X129.10.120.194";"X128.8.126.78";"X128.4.36.46";"X128.112.139.18";"X129.105.15.38";"X129.97.74.14";"X72.36.112.79";"X130.49.221.41";"X208.117.131.116";"X129.107.35.131";"X198.133.224.149";"X128.208.1.234";"X132.239.17.224";"X206.12.16.155";"X128.223.8.111";"X206.117.37.6";"X143.107.111.235";"X198.248.246.19";"X198.248.245.102";"X198.248.244.101";"X202.249.37.67";"X200.0.206.202";"X203.178.133.10";"X122.1.115.91";"X202.244.160.251";"X202.112.28.100";"X134.75.238.112";"X195.116.60.98"
"X148.81.140.194";0.0020751857757572;NA;0.020182151794428;0.034008064270012;0.026294794082636;0.039019079208376;0.03118720054628;0.025082397460936;0.028299331665036;0.028228292465208;0.03553837537765;0.0368790328502583;0.067816219329844;0.0293393631776167;NA;0.11843917846684;0.11901084899904;0.11956575393672;0.11743955612184;0.1175951480866;0.1357820796966;0.13811731338504;0.13447760581972;0.12325243949896;0.15624416351312;0.15233201980588;0.13656570434568;0.18332809448244;0.18997273445136;0.17891035079952;0.20878659248336;0.19571208000192;0.27556902885428;0.27437720298764;0.28045256614696;0.28739818572996;0.298849029541;0.32031928062444;0.30695816993724;0.29576663970952;0.31082736015328;0.24065522193908;0.3048930835724;0.025100631713868
"X195.116.60.98";0.011530952453608;0.024925117492672;0.025774049758908;0.104717769622772;0.035047330856324;0.038412332534784;0.03837712287902;0.040623311996456;0.043707332611084;0.043752365112308;0.0448778371016208;0.0457672874132583;0.04972625732422;0.0453514158725708;NA;0.1159068965912;0.12105375289916;0.12172461509704;0.12443020820608;0.125151796341;0.13198961257944;0.13543452262892;0.14169140815728;0.14174817085252;0.17070622444152;0.16083107948296;0.17275734901432;0.19945430755624;0.20147464672725;0.20725037574764;0.2101918125152;0.20068337440492;0.26219633102412;0.28309656143188;0.28852387428296;0.29602914810176;0.29719186782836;0.2981357383728;0.299325119365227;0.31041640281676;0.330776355483364;0.55887355804448;0.60516550064092;NA
"X130.83.244.179";0.019912500381456;0.02008922576904;NA;0.0226711845398;0.0293369960785;0.022409257888792;0.020496921539316;0.034866943359376;0.037934608459476;0.037904596328732;0.016308873891825;0.0200225909551042;0.03976141929626;0.0390123128891083;NA;0.097325592041028;0.1197196483612;0.093234567642216;0.09902156829834;0.10119227409356;0.11708225250236;0.12244958877564;0.1191110897064;0.1014566421508;0.13665010452268;0.12708154678348;0.12257417678824;0.17285531044012;0.18310876846312;0.1576946163178;0.18400649070744;0.17261590003956;0.23018807411192;0.2491142940522;0.25798768997196;0.2647810840606;0.27201909065248;0.27847883224488;0.279033054004955;0.28915863990776;0.311243068604238;0.42890487670896;0.54709675788888;0.025835447311412
"X131.246.112.38";0.025013713836672;0.025131425857544;0.034903688430784;0.021361989974972;0.013516979217536;0.026584491729744;0.018710660934448;NA;0.0100856685638448;0.0100685501098736;0.0213712155818917;0.0243867337703667;0.092503175735472;0.00586278239885958;0.05662284851074;0.094556283950804;0.1065124416352;0.10719234466548;0.10468020439148;0.10523084640508;0.12319338798516;0.125696329843381;0.12205700874332;0.11077774047856;0.14369725227356;0.13989710807788;0.12409961700436;0.1976424121856;0.17737281799316;0.16640780448908;0.19625311851504;0.17598437309276;0.26308678627012;0.26193444252;0.26813057899476;0.27483441352844;0.28636502265932;0.30792365074152;0.29456696510312;0.28170806884756;0.29858737945556;0.23309561729428;0.28868266105652;0.040675363540636
"X141.24.33.162";0.026135778427124;0.026160554885868;0.029390611648556;0.014960107803352;NA;0.027682437896736;0.019731836318968;0.013588151931752;0.0095476913452148;0.0095000648498548;0.022770335276925;0.0254432062307958;0.0380286026001;0.0168635940429708;NA;0.096055011749268;0.10759105682368;0.108216123581;0.10579807281492;0.10625270843508;0.12443780899048;0.12696489334108;0.12298477172848;0.11177191734312;0.15206870079044;0.14087392807012;0.12529704093932;0.1717914772034;0.17829730987544;0.16746870040888;0.1972198581694;0.17596856117252;0.2641668319702;0.2630273342132;0.26919580459604;0.27601641654956;0.28730872154232;0.30902196884152;0.29567432403572;0.30018882751468;0.29965877532952;0.23424333572388;0.28971483230588;0.035078439712512
"X129.187.143.120";0.028069581985484;0.028180179595952;0.037838249206544;0.02443543434144;0.0094796657562264;0.029411849975588;0.021773157119748;0.0099952507019072;NA;0.001173210144042;0.024342278639475;0.027479161818825;0.040020999908456;0.0132227440675167;NA;0.09494846343994;0.10958459854124;0.11023321151736;0.10796251296992;0.1081896686554;0.1263497924806;0.128715133667;0.12496697425848;0.11391992568964;0.14681778907776;0.14292819023136;0.12723739624016;0.17383181571968;0.18034084320072;0.16948884963992;0.19927938461304;0.17777809143064;0.2661780166626;0.26491372108456;0.27103809356696;0.27796215057372;0.28945742607116;0.31099131584164;0.29760704994204;0.30742396354676;0.30180984497064;0.23620022773744;0.29334862709056;0.043710470199584
"X129.187.143.60";0.028089294433588;0.028177328109748;0.037828807830816;0.024301958084108;0.0093618679046628;0.029581985473628;0.021888484954828;0.0099831867218012;0.0012393093109132;NA;0.0245161155859625;0.0273817082246125;0.09826675415036;0.0129995147387042;0.059461421966552;0.097892074584956;0.10965838432312;0.110254764557;0.10776212692248;0.10821013450624;0.12631096839912;0.12884036064136;0.12504688262936;0.11380336761472;0.14662320137028;0.14292538642884;0.1273025703432;0.17383253097544;0.18039277076712;0.16946927070624;0.1991797828674;0.17787276268;0.2662154388428;0.26496461868292;0.27113134384156;0.27794671058656;0.2895054149628;0.31092801094052;0.29772609710692;0.28589020729076;0.30158081054704;0.23623915672312;0.2947896671296;0.043776826858516
"X192.43.193.71";0.0311090373993;0.031160898208616;0.02058797836304;0.027696819305416;0.019858436584468;0.016964445114128;NA;0.018787698745728;0.021906061172484;0.021816205978392;0.028611958026875;0.0306458671887625;0.027433204650884;0.0224381585915875;NA;0.12434655189504;0.12637627601632;0.11340015411376;0.11110763549816;0.11122094154348;0.12953516006468;0.13176053047184;0.12828276634216;0.11684020042424;0.15014556884768;0.1459665203094;0.13034949302668;0.17694094657892;0.1833871746062;0.1724704551696;0.2022634792328;0.18103352546692;0.26135515213024;0.26800488471984;0.27421447753912;0.28105107307436;0.292467288971;0.29854868888852;0.30074090003972;0.29939830780024;0.30574076652528;0.24439288139348;0.29624095916752;0.038359699249264
"X134.76.81.91";0.03377836227416;0.034038372039788;0.02259744644164;NA;0.015070772171024;0.035258741378784;0.027798919677736;0.021349143981932;0.024351854324348;0.024390449523932;0.0303391218185375;0.0331116716067;0.068336191177356;0.0244025786717667;NA;0.10333427429208;0.11542441368096;0.11595086097716;0.11364029884328;0.11401546478268;0.13214708328252;0.13466584205632;0.13069928169248;0.11952721595768;0.15265936851496;0.14875790596004;0.13302605628968;0.17968376159672;0.18626113891608;0.17526938438408;0.20489480018624;0.18499402999876;0.27185206413264;0.27074435234064;0.27697603225708;0.28369007110588;0.29529385566712;0.31680291175844;0.30466487884528;0.31938997268664;0.30737130165108;0.24206512451168;0.29747676849368;0.028445901870728
"X145.99.179.146";0.033885707855232;0.035697555541988;0.018816089630124;0.03393332481384;0.0276969770590458;0.028223428726192;0.029820709228512;0.022596254348756;0.025723648071284;0.027952327728264;NA;0.0195383032162917;0.056995191574104;0.0259795884291375;NA;0.104428748289763;0.103928155899;0.1059305286406;0.100877943038936;0.103513936996532;0.11831351280212;0.13259402275092;0.12153662681572;0.10504044532776;0.15316955566408;0.15067606925964;0.12194996833804;0.20567100524908;0.17476006507884;0.16321583747872;0.20640494346624;0.17452874183656;0.27237789154056;0.27346434593204;0.2778584003448;0.3081045913696;0.30056204795828;0.31897367477416;0.30557166099552;0.28453805923468;0.3560455703736;0.23572497367856;0.29730557441704;0.044336032867428
